Tag	dynamicColors	mergedColors
ELL2	midnightblue	midnightblue
ELL3	grey	grey
ELMO1	tan	tan
ELMO2	blue	blue
ELMO3	cyan	black
ELMOD2	salmon	salmon
ELMOD3	yellow	yellow
ELMSAN1	blue	blue
ELN	tan	tan
ELOF1	black	black
ELOVL1	blue	blue
ELOVL2	turquoise	turquoise
ELOVL3	turquoise	turquoise
ELOVL4	turquoise	turquoise
ELOVL5	salmon	salmon
ELOVL6	turquoise	turquoise
ELOVL7	turquoise	turquoise
ELP2	blue	blue
ELP3	grey	grey
ELP4	grey	grey
ELP5	purple	purple
ELP6	purple	purple
EMB	brown	brown
EMC1	turquoise	turquoise
EMC10	black	black
EMC2	grey	grey
EMC3	purple	purple
EMC4	blue	blue
EMC6	black	black
EMC7	blue	blue
EMC8	turquoise	turquoise
EMC9	black	black
EMCN	tan	tan
EMD	black	black
EME1	turquoise	turquoise
EME2	yellow	yellow
EMG1	turquoise	turquoise
EMID1	grey	grey
EMILIN1	pink	pink
EMILIN2	brown	brown
EML1	tan	tan
EML2	lightcyan	lightcyan
EML3	yellow	yellow
EML4	blue	blue
EMP1	pink	pink
EMP2	turquoise	turquoise
EMP3	brown	brown
EMSY	blue	blue
ENAH	blue	blue
ENC1	turquoise	turquoise
ENDOD1	lightgreen	lightgreen
ENDOG	cyan	black
ENDOV	yellow	yellow
ENG	tan	tan
ENGASE	yellow	yellow
ENHO	grey	grey
ENKD1	yellow	yellow
